datetime,title,description,url,image_urls,search_key_word
2020-04-01 23:49:55,Grand Canyon National Park closes after employee tested positive for coronavirus,The Grand Canyon closed Wednesday after local health officials raised concerns about its continued operations at a time when venues are closed and pressure mounts for national parks to halt operations to combat the coronavirus pandemic. ,https://www.foxnews.com/travel/grand-canyon-national-park-closes-employee-positive-coronavirus-test,https://static.foxnews.com/foxnews.com/content/uploads/2020/04/AP20091713868907-1.jpg,the
2020-04-01 23:35:30,Trump says he would 'absolutely' have a call with Biden to discuss coronavirus response strategy,"President Trump on Wednesday said he’d “absolutely” have a phone call with Joe Biden, after the former vice president offered to speak directly with him to discuss a strategy to combat the coronavirus pandemic rocking the nation.",https://www.foxnews.com/politics/trump-biden-call-discuss-coronavirus-response-strategy,https://static.foxnews.com/foxnews.com/content/uploads/2020/01/Biden-Trump-AP.jpg,the
2020-04-01 23:29:12,"Coronavirus first responders desperately need more safety equipment, 9/11 firefighter says","First responders and hospital workers on the front lines of the coronavirus crisis are at risk of bringing the illness to their families without more protective gear and testing, according to a former deputy chief of the FDNY.",https://www.foxnews.com/us/coronavirus-first-responders-need-more-safety-equipment-9-11-firefighter,https://static.foxnews.com/foxnews.com/content/uploads/2020/04/Richard-Alles.jpg,the
2020-04-01 23:24:19,James Morgan: 5 things to know about the 2020 NFL Draft prospect,James Morgan is a college quarterback for the FIU Golden Panthers who is looking to make the jump to the pros.,https://www.foxnews.com/sports/james-morgan-5-things-to-know-2020-nfl-draft-prospect,https://static.foxnews.com/foxnews.com/content/uploads/2020/04/James-Morgan-Panthers-REUTERS.jpg,the
2020-04-01 23:20:46,Universal Pictures delays 'Minions' and 'Wicked' release dates,Even more upcoming movies are being shelved as the coronavirus outbreak forces production schedules to shift. ,https://www.foxnews.com/entertainment/universal-delays-minions-and-wicked-release-dates,https://static.foxnews.com/foxnews.com/content/uploads/2020/04/minions.jpg,the
2020-04-01 23:19:29,"Meghan Markle, Prince Harry close chapter as senior royals with out-of-office email reply",Meghan Markle and Prince Harry have officially left closed the book on their lives as senior members of the royal family as indicated in their “out-of-office” automatic email response.,https://www.foxnews.com/entertainment/meghan-markle-prince-harry-senior-royals-out-of-office-email,https://static.foxnews.com/foxnews.com/content/uploads/2020/02/queen-elizabeth-meghan-markle-prince-harry.jpg,the
2020-04-01 23:05:14,"Rachel Bloom, husband Dan Gregor welcome daughter during coronavirus pandemic: 'Most emotionally intense week'","Rachel Bloom and her husband Dan Gregor have welcomed a daughter, who was born in the midst of the global coronavirus pandemic.",https://www.foxnews.com/entertainment/rachel-bloom-dan-gregor-daughter-coronavirus-pandemic,https://static.foxnews.com/foxnews.com/content/uploads/2019/12/GettyImages-1059475416.jpg,the
2020-04-01 23:02:58,"Flights between US, Cuba suspended over coronavirus, officials say",Flights between Cuba and the United States were suspended on Wednesday in the latest attempt to restrict travel and stop the spread of coronavirus. ,https://www.foxnews.com/travel/flights-us-cuba-suspended-coronavirus,https://static.foxnews.com/foxnews.com/content/uploads/2020/04/AP20082656373543.jpg,the
2020-04-01 23:02:29,"Democracy 2020 Digest: Biden ‘ready to debate’ Trump, but done with Bernie","Joe Biden says he’s anxious to face off with President Trump. “I'm ready to debate President Trump on zoom or Skype, anytime he wants,” the former vice president said in an pre-recorded interview with Florida based radio host Enrique Santos that was released Thursday on Instagram. While the all-but-certain Democratic presidential nominee is ready to tangle with the GOP incumbent, he’s far less thrilled about facing off again with Sen. Bernie Sanders.",https://www.foxnews.com/politics/democracy-2020-digest-biden-ready-to-debate-trump-but-done-with-bernie,https://cf-images.us-east-1.prod.boltdns.net/v1/static/694940094001/2924ce95-ee24-49b1-b951-d5bcd13b96e7/3cecc733-b546-4455-b164-413783d39282/1280x720/match/image.jpg,the
2020-04-01 23:01:04,Taylor Swift helps small Nashville record store stay open during coronavirus crisis,Taylor Swift is lending a helping hand to a local business.,https://www.foxnews.com/entertainment/taylor-swift-donation-nashville-record-coronavirus,https://static.foxnews.com/foxnews.com/content/uploads/2020/03/swift2.jpg,the
2020-04-01 22:56:49,'I Love Rock and Roll' co-writer Alan Merrill's wife reveals struggle to treat his coronavirus in New York,"The widow of Alan Merrill, who died at age 69 on March 29 in New York City due to complications from the coronavirus, shared her harrowing experience of trying to get him treatment within the city’s overstretched healthcare system.",https://www.foxnews.com/entertainment/i-love-rock-and-roll-alan-merrill-wife-coronavirus-struggle,https://static.foxnews.com/foxnews.com/content/uploads/2020/03/Alan-Merrill-Getty-Images.jpg,the
2020-04-01 22:52:10,"'Tiger King' star Joe Exotic is in coronavirus isolation in jail, husband Dillon Passage says","Joseph Maldonado-Passage -- better known as Joe Exotic -- of ""Tiger King"" is taking extra precautions during the coronavirus pandemic.",https://www.foxnews.com/entertainment/tiger-king-joe-exotic-coronavirus-isolation-jail-husband-dillon-passage,https://static.foxnews.com/foxnews.com/content/uploads/2020/03/Joe-Exotic-Santa-Rosa-County-Jail-via-AP.jpg,the
2020-04-01 22:46:47,AOC suggests Politico report part of effort 'to demoralize the left',"Rep. Alexandria Ocasio-Cortez, D-N.Y., has disputed a recent Politico report that suggested she might be modifying her socialist views, claiming the piece was part of a campaign to demoralize the left.",https://www.foxnews.com/media/aoc-politico-demoralize-the-left,https://static.foxnews.com/foxnews.com/content/uploads/2020/04/AOC-Politico-Logo.jpg,the
2020-04-01 22:43:11,"K-pop star Jaejoong apologizes for coronavirus April Fools' prank, says it was to raise awareness",Korean pop music star Jaejoong is saving face after he pranked his adoring fans and the world with an April Fools’ Day gaffe by claiming he had contracted the novel coronavirus,https://www.foxnews.com/entertainment/k-pop-jaejoong-apologizes-coronavirus-april-fools-prank,https://static.foxnews.com/foxnews.com/content/uploads/2020/04/Jaejoong.jpg,the
2020-04-01 22:40:22,Peggy Grande: Coronavirus lesson about China — time for US to socially distance itself from Beijing,"During the coronavirus crisis, we have learned more about our place in the world and the importance of choosing carefully those with whom we align.",https://www.foxnews.com/opinion/coronavirus-social-distance-china-us-peggy-grande,,the
2020-04-01 22:39:14,Calif. Gov. Newsom tells CNN Trump has been 'responsive' to state's needs: 'I'd be lying' to say otherwise,"California Gov. Gavin Newsom commended President Trump for his attentiveness to the Golden State's needs amid the coronavirus outbreak, saying he'd be ""lying"" if he said otherwise.",https://www.foxnews.com/politics/gavin-newsom-cnn-trump-responsive-california,https://static.foxnews.com/foxnews.com/content/uploads/2020/01/AP20009507944603.jpg,the
2020-04-01 22:35:35,"Trump says he can’t confirm China’s coronavirus case numbers, warns of 'horrific' days to come","President Trump said Wednesday he could not confirm the veracity of the numbers of coronavirus cases and deaths being reported by China, as he warned Americans to brace for more “horrific” days in dealing with the virus.",https://www.foxnews.com/politics/trump-says-he-cant-confirm-chinas-coronavirus-case-numbers-amid-accusations-of-underreporting-we-really-dont-know,https://cf-images.us-east-1.prod.boltdns.net/v1/static/694940094001/a51ec5ef-1658-4467-9195-d041f1716c13/9de65018-558b-4bcd-b128-b8d4ce34cf02/1280x720/match/image.jpg,the
2020-04-01 22:34:02,"Kentucky town's window 'safari' entertains kids, adults during coronavirus","A Kentucky neighborhood came together to create a ""safari"" zoo for children bored at home amid school closures to combat the coronavirus pandemic. ",https://www.foxnews.com/us/kentucky-window-safari-coronavirus,https://static.foxnews.com/foxnews.com/content/uploads/2020/04/Stuffed-animals.jpg,the
2020-04-01 22:33:20,"Prince William eager to pilot air ambulances during coronavirus pandemic 'under secrecy,' source says",Prince William reportedly wants to suit up and return to his former job as an air ambulance pilot to assist in the fight against the coronavirus pandemic.,https://www.foxnews.com/entertainment/prince-william-pilot-air-ambulance-coronavirus,https://static.foxnews.com/foxnews.com/content/uploads/2020/03/GettyImages-1210232206.jpg,the
2020-04-01 22:33:20,Gutfeld on America’s unity in the face of a pandemic,"With 9/11, we sent troops to war. Here, we are all the troops now. Team America.",https://www.foxnews.com/opinion/gutfeld-on-americas-unity-in-the-face-of-a-pandemic,https://cf-images.us-east-1.prod.boltdns.net/v1/static/694940094001/56ed1065-1f3c-47a4-84d4-33eeff81eb63/1819f4bf-f910-413f-8be9-2d883c975b0a/1280x720/match/image.jpg,the
2020-04-01 22:29:35,County in China locks down amid concerns of potential second coronavirus wave,A county in central China has reportedly gone into a mid-sized lockdown amid fears of a second coronavirus wave as Beijing is trying to emerge from the deadly outbreak and revive its economy. ,https://www.foxnews.com/world/china-county-locks-down-amid-concerns-of-potential-2nd-coronavirus-wave,https://static.foxnews.com/foxnews.com/content/uploads/2020/04/AP20085179878808.jpg,the
2020-04-01 22:17:42,Bindi Irwin on the ‘tough’ choice to alter wedding plans amid coronavirus pandemic,"Bindi Irwin’s wedding to Chandler Powell might have gone on without a hiccup, but what was dreamt of like a fairy tale nuptial ceremony at the Australia Zoo last month, landed as an intimate gathering due to the fallout from the coronavirus pandemic.",https://www.foxnews.com/entertainment/bindi-irwin-tough-choice-alter-wedding-plans-coronavirus,https://static.foxnews.com/foxnews.com/content/uploads/2019/07/Irwin-Powell-GettyImages-1147059038.jpg,the
2020-04-01 22:10:34,"People with coronavirus are highly contagious for days prior to symptoms, says scientist","A scientists tells Fox News her experience underscored a disturbing reality: young, healthy adults hold no innate immunity to the coronavirus.",https://www.foxnews.com/health/coronavirus-covid-19-highly-contagious-days-symptoms,https://static.foxnews.com/foxnews.com/content/uploads/2020/04/DaisyRobinton3.jpg,the
